date,price
2023-08-17,18453444.4
2023-08-18,22741540.833333332
2023-08-19,21704875.0
2023-08-20,23627142.85714286
2023-08-21,31417727.272727273
2023-08-22,23859166.666666668
2023-08-23,22803674.384615384
2023-08-24,22340000.0
2023-08-25,30962500.0
2023-08-26,25938000.0
2023-08-27,19690909.09090909
2023-08-28,29746428.57142857
2023-08-29,19108888.888888888
2023-08-30,24440270.7
2023-08-31,10445714.285714285
2023-09-01,30987058.82352941
2023-09-02,21928333.333333332
2023-09-03,20685555.555555556
2023-09-04,48830000.0
2023-09-05,19227142.85714286
2023-09-06,31695000.0
2023-09-07,62660000.0
2023-09-08,21920000.0
2023-09-09,25487500.0
2023-09-10,25964444.444444444
2023-09-11,18236363.636363637
2023-09-12,18212100.0
2023-09-13,20806250.0
2023-09-14,22857500.0
2023-09-15,31240888.888888888
2023-09-16,19336428.57142857
2023-09-17,15908666.666666666
2023-09-18,20842833.333333332
2023-09-19,23074545.454545453
2023-09-20,38718750.0
2023-09-21,21656042.0
2023-09-22,21049455.0
2023-09-23,27840457.388888888
2023-09-24,26971428.57142857
2023-09-25,42588866.666666664
2023-09-26,26370555.555555556
2023-09-27,20042676.3
2023-09-28,27137894.736842107
2023-09-29,45582500.0
2023-09-30,20172000.0
2023-10-01,22447618.181818184
2023-10-02,21042666.666666668
2023-10-03,31568333.333333332
2023-10-04,21906153.846153848
2023-10-05,16527272.727272727
2023-10-06,45009285.71428572
2023-10-07,21409166.666666668
2023-10-08,28350000.0
2023-10-09,20422500.0
2023-10-10,23654444.444444444
2023-10-11,26532666.666666668
2023-10-12,19955333.333333332
2023-10-13,27014857.14285714
2023-10-14,19706250.0
2023-10-15,23164166.666666668
2023-10-16,28570909.09090909
2023-10-17,27696666.666666668
2023-10-18,32740000.0
2023-10-19,14640000.0
2023-10-20,28789090.90909091
2023-10-21,20437500.0
2023-10-22,20878285.714285713
2023-10-23,15066277.5
2023-10-24,13349285.714285715
2023-10-25,16615555.555555556
2023-10-26,25733000.0
2023-10-27,27094050.0
2023-10-28,19640833.333333332
2023-10-29,25266666.666666668
2023-10-30,26862857.14285714
2023-10-31,18395000.0
2023-11-01,34114000.0
2023-11-02,22585714.285714287
2023-11-03,32645000.0
2023-11-04,24396666.666666668
